"conferenceId","Team ID","Team Market","position","Player Height","Class Year","playerId","jerseyNum","fullName","Games Started","Games Played","Minutes Played","Assist Pct","Assist Pct %ile","Assist Ratio","Assist Ratio %ile","Turnover Pct","Turnover Pct %ile","Ast/Tov Ratio","Ast/Tov Ratio %ile","Usage Pct","Usage Pct %ile","True Shooting %","True Shooting % %ile","2-Point Pct","2-Point Pct %ile","3-Point Pct","3-Point Pct %ile","Free Throw Pct","Free Throw Pct %ile","Off Rebound Pct","Off Rebound Pct %ile","FT Attempt Rate","FT Attempt Rate %ile","3-Point Att Rate","3-Point Att Rate %ile"
"87","103265","Air Force","G","75","Sophomore","2303157","2","AJ Patterson","0","29","415.6","0.25338","0.9","0.30299","0.96","0.42618","0","1.02","0.29","0.15353","0.21","0.47548","0.18","0.45833","0.4","0.14286","0.03","0.60714","0.13","0.03218","0.57","0.50909","0.89","0.12727","0.04"
"36","103260","Abilene Christian","G","77","Senior","2169822","0","Zy Wright","4","30","498.36","0.05569","0.08","0.0674","0.06","0.15566","0.36","0.46429","0.03","0.1834","0.43","0.553","0.62","0.51351","0.68","0.29091","0.29","0.84615","0.84","0.04452","0.76","0.4031","0.74","0.42636","0.42"
"36","103260","Abilene Christian","G","75","Sophomore","2144728","5","Cbo Newton","23","28","735.65","0.10209","0.35","0.09724","0.18","0.13709","0.5","0.78571","0.14","0.21175","0.63","0.55598","0.64","0.57143","0.88","0.30851","0.36","0.68116","0.26","0.02754","0.49","0.29487","0.49","0.40171","0.37"
"36","103260","Abilene Christian","G","76","Junior","2125324","2","Yaniel Rivera","19","27","673.98","0.19356","0.75","0.21161","0.77","0.1832","0.2","1.46512","0.58","0.1774","0.38","0.51904","0.39","0.33333","0.06","0.38017","0.8","0.65789","0.2","0.01391","0.16","0.21714","0.26","0.69143","0.86"
"36","103260","Abilene Christian","G","76","Senior","1910131","4","Rich Smith","27","30","904.28","0.33129","0.98","0.28548","0.93","0.22583","0.09","1.76923","0.73","0.19408","0.51","0.56096","0.67","0.52041","0.71","0.25","0.16","0.64444","0.18","0.0594","0.88","0.64904","0.97","0.05769","0.01"
"36","103260","Abilene Christian","G","75","Senior","1705225","23","Joseph Venzant","20","30","771.85","0.05364","0.07","0.13977","0.43","0.22895","0.08","0.70968","0.11","0.08913","0.01","0.60824","0.9","0.48077","0.52","0.38462","0.82","0.78333","0.59","0.04992","0.81","0.76923","0.98","0.33333","0.25"
"72","103258","A&M-Corpus Christi","G","77","Junior","2558062","10","Daniel Michelini-Jackson","11","26","443.87","0.13098","0.5","0.17422","0.62","0.20394","0.13","1.03448","0.29","0.16722","0.3","0.49912","0.28","0.43137","0.27","0.28571","0.26","0.9","0.95","0.03712","0.66","0.3","0.51","0.49","0.54"
"72","103258","A&M-Corpus Christi","G","73","Senior","2306705","1","Nicholas Shogbonyo","23","25","706.69","0.09801","0.33","0.09964","0.19","0.15091","0.39","0.73333","0.11","0.22215","0.7","0.60032","0.87","0.43689","0.3","0.41346","0.92","0.80952","0.7","0.02241","0.37","0.50725","0.89","0.50242","0.56"
"72","103258","A&M-Corpus Christi","G","74","Senior","2117021","4","Kam Parker","6","22","383.02","0.15846","0.63","0.21984","0.79","0.15851","0.33","1.77778","0.74","0.15456","0.21","0.44456","0.1","0.39474","0.16","0.25532","0.18","0.79167","0.63","0.02431","0.42","0.28235","0.46","0.55294","0.66"
"72","103258","A&M-Corpus Christi","G","75","Senior","1947531","2","Leo Torbor","15","29","567.26","0.15903","0.63","0.19087","0.69","0.20445","0.13","1.15385","0.37","0.17578","0.36","0.43808","0.09","0.43697","0.3","0.11111","0.02","0.48148","0.03","0.0228","0.38","0.42188","0.78","0.07031","0.01"
