Team,Division,Player,Games,POSS ,PTS,PPP,AST,TO,TO%,AST/TO,FG MADE,FG MISS,FG ATT,FG%,EFG%,TS%,TSA,2 FG MADE,2 FG MISS,2 FG ATT,2 FG%,3 FG MADE,3 FG MISS,3 FG ATT,3FG%,3PA/FGA,FT ATT,FT MADE,FT MISS,FT%,%FT,FTA/FGA,AND-ONE,AND-ONE %,SCORE%,SF,%SF,TOT REB,OFF REB,DEF REB,STL,STL POS,STL/TO,BLK,BLK FGA,BLK FGA/FGA,STL+BLK,PF TKN,PF COM,BLK/FOUL,GM SCORE,DBL-DBL,TRI-DBL
As Promised ,16U,Sean Banks,5,41,33,0.805,6,9,22.00%,0.67,12,17,29,41.40%,48.30%,52.10%,32,8,5,13,61.50%,4,12,16,25.00%,0.55,6,5,1,83.30%,7.30%,0.21,0,0.00%,36.60%,3,7.30%,9,3,6,5,7,0.56,2,1,0.03,7,5,6,0.33,20.2,0,0
Above the Rim,16U,Niko Chaplain,5,40,20,0.5,19,11,27.50%,1.73,8,20,28,28.60%,33.90%,33.60%,30,5,12,17,29.40%,3,8,11,27.30%,0.39,4,1,3,25.00%,7.50%,0.14,2,5.00%,22.50%,3,7.50%,17,4,13,12,10,1.09,1,1,0.04,13,5,4,0.25,22.5,0,0
TME ,16U,Jah'mir Wallace,4,39,35,0.897,8,6,15.40%,1.33,16,13,29,55.20%,55.20%,52.40%,33,16,8,24,66.70%,0,5,5,0.00%,0.17,10,3,7,30.00%,15.40%,0.34,2,5.10%,48.70%,6,15.40%,15,6,9,6,4,1,0,2,0.07,6,12,4,0,29.2,0,0
Colorado Collective,16U,Khalil Hudgins,4,39,36,0.923,6,5,12.80%,1.2,16,12,28,57.10%,57.10%,54.80%,33,16,7,23,69.60%,0,5,5,0.00%,0.18,11,4,7,36.40%,15.40%,0.39,0,0.00%,51.30%,5,12.80%,16,4,12,6,2,1.2,0,1,0.04,6,7,7,0,28.8,0,0
Team Scoot,16U,Benjamin Howery,7,39,47,1.205,6,5,12.80%,1.2,18,12,30,60.00%,70.00%,71.00%,33,12,2,14,85.70%,6,10,16,37.50%,0.53,7,5,2,71.40%,10.30%,0.23,0,0.00%,53.80%,2,5.10%,21,3,18,3,2,0.6,0,0,0,3,8,7,0,39.3,0,0
Cooz Elite,16U,Gary Davis,8,39,25,0.641,6,6,15.40%,1,8,14,22,36.40%,40.90%,40.60%,31,6,8,14,42.90%,2,6,8,25.00%,0.36,20,7,13,35.00%,28.20%,0.91,0,0.00%,35.90%,8,20.50%,27,10,17,8,3,1.33,2,3,0.14,10,12,19,0.11,19.7,0,0
1of1,16U,Justin Johannes,4,39,24,0.615,6,9,23.10%,0.67,10,16,26,38.50%,40.40%,40.70%,30,9,15,24,37.50%,1,1,2,50.00%,0.08,8,3,5,37.50%,12.80%,0.31,1,2.60%,33.30%,4,10.30%,28,10,18,2,4,0.22,8,5,0.19,10,8,8,1,19.8,1,0
Rhode Island Elite,16U,Trevone Chase,5,39,39,1,3,7,17.90%,0.43,17,13,30,56.70%,58.30%,59.70%,33,16,13,29,55.20%,1,0,1,100.00%,0.03,6,4,2,66.70%,10.30%,0.2,2,5.10%,48.70%,4,10.30%,37,13,24,3,3,0.43,3,1,0.03,6,5,18,0.17,33.3,1,0
Jaylen Wells Elite,16U,Ty Schalk,5,38,59,1.553,8,3,7.90%,2.67,20,12,32,62.50%,82.80%,84.10%,35,7,3,10,70.00%,13,9,22,59.10%,0.69,7,6,1,85.70%,10.50%,0.22,1,2.60%,60.50%,3,7.90%,19,2,17,2,4,0.67,1,1,0.03,3,6,7,0.14,53.2,0,0
Sipp United,16U,Triston Hawthorne,11,38,37,0.974,9,11,28.90%,0.82,16,7,23,69.60%,69.60%,68.60%,27,16,7,23,69.60%,0,0,0,-,0,9,5,4,55.60%,13.20%,0.39,1,2.60%,50.00%,5,13.20%,74,20,54,12,6,1.09,45,1,0.04,57,6,34,1.32,81.1,0,0
